question_1,question_2,cosine_similarity
Why are my dishes still dirty after a wash?,Why are my dishes still dirty after washing?,0.9668670783716466
Can I use regular dish soap in my dishwasher?,Can I use regular dish soap in my dishwasher?,0.9665618197058148
What should I do if my dishes are still dirty after a wash?,Why are my dishes still dirty after washing?,0.95323841821445
How much detergent should I use in the dishwasher?,How much detergent should I use?,0.9525826434103624
What temperature should the water be when it enters the dishwasher?,What temperature should the water be when it enters the dishwasher?,0.9525456121181309
What temperature should the water be when it enters the dishwasher?,What temperature should my water be for best cleaning?,0.9514476145702415
How do I start my dishwasher?,How do I start my dishwasher?,0.9479563680724334
What should I do if my dishes are still dirty after a wash?,Why are my dishes still dirty after a wash?,0.9478034579142718
Can I use regular dish soap in the dishwasher?,Can I use regular dish soap in my dishwasher?,0.9469893406581178
What if the dishwasher does not start?,What if the dishwasher doesn't start?,0.9453364538754319
Can I use regular dish soap in the dishwasher?,Can I use regular dish soap in my dishwasher?,0.9416956492774424
What if the dishwasher does not start?,What should I do if the dishwasher won't start?,0.940838237148796
How often should I run the dishwasher?,How often should I run the dishwasher?,0.9399301094631253
What's the best way to load the bottom rack?,How should I load the bottom rack?,0.9372385013958169
What should I do if the dishwasher smells bad?,What do I do if I smell something bad in the dishwasher?,0.9296183047749198
How do I clean the dishwasher filter?,How do I clean the filter in my dishwasher?,0.9293858536897763
What happens if I don’t use rinse aid?,What happens if I forget to add rinse aid?,0.929121763325174
Can I use regular dish soap in the dishwasher?,Can I use regular dish soap in my dishwasher?,0.9290927844134813
What should I do if my dishes are still dirty after a wash?,What can I do if my dishes are still dirty after a wash?,0.928427466911324
What temperature should my water be for best cleaning?,What temperature should the water be when it enters the dishwasher?,0.9282881221900994
Can I wash pots and pans in the dishwasher?,Can I wash pots and pans in the dishwasher?,0.9274000513735755
How often should I clean my dishwasher?,How often should I clean my dishwasher?,0.9273459634869803
What is the best way to load dishes?,How do I load dishes properly?,0.9269205372531579
How do I clean the filters in my dishwasher?,How do I clean the filters in the dishwasher?,0.9235152379762612
How can I clean the filter in the dishwasher?,How do I clean the filter in my dishwasher?,0.9217291348579397
What can I do if my dishes are still dirty after a wash?,What if my dishes are still dirty after a wash?,0.9216146374277567
How often should I run the dishwasher?,How often should I run the dishwasher?,0.920225551400115
Can I overload the dishwasher?,Can I overload the dishwasher?,0.9192624214806475
How do I start my dishwasher?,How do I start the dishwasher?,0.9190213327100547
What should I do if my dishwasher is not starting?,What should I do if the dishwasher doesn't start?,0.9167345868497114
What should I do if the dishwasher is making a loud noise?,What should I check if my dishwasher is making loud noises?,0.9158977062467272
What should I do if my dishwasher smells bad?,What do I do if I smell something bad in the dishwasher?,0.9157117524173813
What is the Heat Dry option for?,How does the Heat Dry option work?,0.9136045921958652
Can I wash pots and pans in the dishwasher?,Can I wash pots in the dishwasher?,0.9129735380878025
How do I add rinse aid?,How do I add rinse aid?,0.9120271789146175
What is rinse aid and why do I need it?,Why do I need rinse aid?,0.9119923440227673
Can I wash plastic dishes in the dishwasher?,Can I wash plastic items in the dishwasher?,0.9117701038353854
How often should I run the dishwasher?,How often should I run the dishwasher?,0.9110993908386771
What does the overfill protection float do?,Is the overfill protection float important?,0.9100996781161511
How do I start using my dishwasher?,How do I start my dishwasher?,0.9083037189823098
Why do I see spots on my dishes after washing?,Why are there spots on my clean dishes?,0.9082317076287372
What do I do if my dishwasher doesn’t start?,What should I do if the dishwasher won't start?,0.9080546145139181
How do I know when the cycle is done?,How do I know when a cycle is done?,0.9078651722849989
What causes spots and stains on my dishes?,Why are there spots on my clean dishes?,0.9063312749508459
Can I use regular dish soap in the dishwasher?,Can I use regular dish soap in my dishwasher?,0.905800280222688
What can I do if my dishes are still dirty after a wash?,What should I check if my dishes are still dirty after a wash cycle?,0.9040093797188756
What can I do if my dishes are still dirty after a wash?,What if my dishes are still dirty after a wash?,0.9036197084777946
What should I do if the dishwasher smells bad?,What should I do if my dishwasher smells bad?,0.9023717873176733
Can I use regular dish soap in the dishwasher?,Can I use regular dish soap in the dishwasher?,0.9012607521627904
What can I do if my dishes are still dirty after a wash?,What should I do if my dishes are still dirty after a cycle?,0.9002290786977091
What should I do if my dishes are still dirty after a cycle?,What should I check if my dishes are still dirty after a wash cycle?,0.8973597326044238
What if the dishwasher doesn't start?,What should I do if the dishwasher won't start?,0.8973389969370319
Can I wash plastic dishes in the dishwasher?,Can I wash plastic dishes in the dishwasher?,0.8969372012290413
How do I start using my dishwasher?,How do I start my dishwasher?,0.8965768798038367
How do I start the dishwasher?,How do I start the dishwasher?,0.8964862412263626
How do I start the dishwasher?,How do I start the dishwasher?,0.8961103017127479
What should I do if my dishwasher leaks?,How can I fix a dishwasher that leaks?,0.8957051371745488
How do I know when the cycle is done?,How do I know when my dishwasher cycle is done?,0.8952507769108768
How do I clean the filters in my dishwasher?,How do I clean the filters in my dishwasher?,0.8939991370327233
What can I do if my dishes are still dirty after a wash?,Why are my dishes still dirty after washing?,0.8930935782866751
What should I do if the dishwasher smells bad?,What should I do if my dishwasher smells bad?,0.8925501673811604
How do I start the dishwasher?,How do I start the dishwasher?,0.8918576899279853
How do I know when a cycle is done?,How do I know when my dishwasher cycle is done?,0.8903079624424901
How often should I clean my dishwasher?,How often should I clean the dishwasher?,0.889868000748349
How do I clean the dishwasher filter?,How can I clean the filter in the dishwasher?,0.8894062984035562
How do I know which wash cycle to choose?,What's the best way to choose a wash cycle?,0.889168578130937
How do I start the dishwasher?,How do I start my dishwasher?,0.8888161826153207
Should I rinse my dishes before putting them in?,Should I rinse my dishes before putting them in the dishwasher?,0.8878645691652658
Can I wash plastic dishes in the dishwasher?,Can I wash plastic items in the dishwasher?,0.8877489909698915
Why do I need rinse aid?,Do I need to use rinse aid in my dishwasher?,0.886712139832275
What should I do if the dishwasher won't start?,What should I do if the dishwasher doesn't start?,0.8856145840064218
How do I start the dishwasher?,How do I start my dishwasher?,0.8856063989405847
How do I clean the filters in my dishwasher?,How do I clean the dishwasher filters?,0.885336877548829
What if my dishes are still dirty after a wash?,Why are my dishes still dirty after washing?,0.8852088439705126
What should I do if I hear unusual noises from the dishwasher?,What should I do if the dishwasher is making strange noises?,0.8848998161107549
How do I choose a washing cycle?,How do I know which wash cycle to choose?,0.884317689899377
What should I do if my dishes are still dirty after a wash?,What if my dishes are still dirty after a wash?,0.8841987567778677
