question_1,question_2,cosine_similarity
省エネモードはありますか？,省エネ機能はある？,0.9877468571780083
「わが家流」設定とは何ですか？,「わが家流」設定って何？,0.9831990560291548
洗濯時間は何分ですか？,洗濯の所要時間は？,0.9785835741414988
最大容量は？,洗濯と乾燥の最大容量は？,0.97852427819901
ナノイーXとは何ですか？,ナノイーXの機能は？,0.9775478172962141
洗濯ネットは必要ですか？,洗濯ネットは使うべき？,0.9758269125683272
コースが表示されないのですが,コースが表示されない。,0.9735383344002987
脱水時間の変更は可能ですか？,脱水時間の調整はできる？,0.9719322856901378
毛布は洗えますか？,毛布の洗濯は可能？,0.9646503934838995
ドラムが動きません,ドラムが回らない。,0.9640952203637587
本体が熱くなります,本体が熱い。,0.9627191915493329
洗濯の途中で一時停止できますか？,洗濯中に一時停止は可能？,0.9606871492189204
ジェット乾燥とは何ですか？,ジェット乾燥って何？,0.9596552094902315
チャイルドロックの設定をしたい,チャイルドロックはどこで設定する？,0.9594488632992136
洗剤の種類によって設定は変わりますか？,洗剤の種類で設定変更は必要？,0.9587326153168187
スチーム機能の使い方を教えて？,スチーム機能は何に使うの？,0.9569694801886133
設定の初期化はできますか？,設定を工場出荷時に戻せる？,0.9567684740670446
一時停止中にドアは開きますか？,一時停止したらドアは開く？,0.9545505913963015
「水が出ない」エラーが出ます,水が出ないエラーが出た。,0.9399662190060303
羽毛布団は洗えますか？,羽毛布団は洗濯できる？,0.9379533172186741
ドアが完全に閉まりません,ドアが閉まらない時は？,0.9373812369791319
おしゃれ着コースはありますか？,おしゃれ着は洗える？,0.9373029618113514
洗剤を手動で投入できますか？,手動で洗剤を入れることはできますか？,0.936933097067743
脱水時間の変更は可能ですか？,洗濯物の種類によって脱水時間を調整したいのですが、何分まで設定できますか？,0.9363668794862468
ふんわりキープとは何ですか？,ふんわりキープの目的は？,0.9348050327126823
ジェット乾燥とは何ですか？,ジェット乾燥機能は、どのような仕組みで乾燥をするのですか？,0.9342668734929267
すすぎの設定を変更することは可能ですか？,すすぎ回数は変えられる？,0.9341074909684819
「わが家流」設定とは何ですか？,頻繁に使う洗濯設定を保存しておきたいのですが、「わが家流」設定とは具体的にどのような機能ですか？,0.933910699275132
ナノイーXの機能は？,ナノイーX機能について詳しく教えてください。どのような効果があり、どのコースで利用できますか？,0.9327741395171254
手動で個別に設定する事は可能ですか？,個別の設定は可能ですか？,0.9321008483538509
脱水時間の調整はできる？,洗濯物の種類によって脱水時間を調整したいのですが、何分まで設定できますか？,0.9311213143406882
遠隔で洗濯を開始できますか？,自宅にいない時でも、スマートフォンなどを使って洗濯機を遠隔で操作し、洗濯を開始することはできますか？,0.9308358788420625
おすすめの洗剤・柔軟剤はありますか？,推奨の洗剤・柔軟剤は？,0.9302363021137061
おすすめのコースを教えて？,最適なコースは？,0.9292484654747364
ナノイーXとは何ですか？,ナノイーX機能について詳しく教えてください。どのような効果があり、どのコースで利用できますか？,0.9282415047587966
「わが家流」設定って何？,頻繁に使う洗濯設定を保存しておきたいのですが、「わが家流」設定とは具体的にどのような機能ですか？,0.9264633915138994
省エネ機能はある？,電気代や水道代を節約できるような省エネ運転モードは搭載されていますか？,0.9244085273329825
ジェット乾燥って何？,ジェット乾燥機能は、どのような仕組みで乾燥をするのですか？,0.9242313434003193
運転終了時にアラームを鳴らさないようにできますか？,洗濯終了時のお知らせ音を鳴らさないようにしたいのですが、その設定はどこで変更できますか？,0.9234199871814999
異音がします。どうしたらよいですか？,変な音がするのですが。,0.9226733417542039
「洗い」だけ行いたいのですが,洗いのみは可能？,0.918010679011572
省エネモードはありますか？,電気代や水道代を節約できるような省エネ運転モードは搭載されていますか？,0.9175955180948925
洗剤を手動で投入できますか？,自動投入機能を使わずに、自分で洗剤を投入したいのですが、設定を教えてください？,0.9168977802467865
洗濯物に白い粉が残っています。　どうしたらよいですか？,白い粉が残るのですが。,0.9168388586948539
終了音を消すには？,洗濯終了時のお知らせ音を鳴らさないようにしたいのですが、その設定はどこで変更できますか？,0.915866194398749
「排水できない」エラーが出ます,排水エラーが出た。,0.9157695586134843
運転終了時にアラームを鳴らさないようにできますか？,終了音を消すには？,0.915203935907964
設定の初期化はできますか？,誤った設定をしてしまったので、洗濯機の設定をすべて初期状態に戻したいのですが、その方法を教えてください。,0.9141755761270023
予約機能の使い方をおしえて？,予約の仕方は？,0.9132734602469847
外出先から洗濯を開始できますか？,遠隔で洗濯を開始できますか？,0.9131069401955996
