question_1,question_2,cosine_similarity
change intensity,Change intensity,1.0000000000000024
turn on the bulb,Turn on the bulb,1.0000000000000018
change color,Change color,1.0000000000000016
change brightness,Change brightness,1.000000000000001
change bulb brightness,Change bulb brightness,1.000000000000001
change the thermostat more,Change the thermostat more,1.000000000000001
change the temperature,Change the temperature,1.0000000000000009
change the thermostat mode,Change the thermostat mode,1.0000000000000009
change bulb intensity,Change bulb intensity,1.0000000000000007
turn off the bulb,Turn off the bulb,1.0000000000000004
get the bulb status,Get the bulb status,1.0000000000000004
change the thermostat temperature,Change the thermostat temperature,1.0000000000000002
please tell me what is the mode of the thermostat?,please tell me what is the mode of the thermostat,0.9918481691797889
please tell me what is the mode of the thermostat?,please tell me what is the mode of the thermostat,0.9918481691797889
please tell me what is the mode of the thermostat,please tell me what is the mode of the thermostat?,0.9918481691797889
please tell me what is the mode of the thermostat?,please tell me what is the mode of the thermostat,0.9918481691797889
please tell me the mode of the thermostat,please tell me what is the mode of the thermostat,0.9896119680880712
please tell me the mode of the thermostat,please tell me what is the mode of the thermostat,0.9896119680880712
please tell me what is the mode of the thermostat,please tell me the mode of the thermostat,0.9896119680880712
please tell me the mode of the thermostat,please tell me what is the mode of the thermostat,0.9896119680880712
What is the intensity?,Please tell me what is the intensity?,0.9892376141906072
Please tell me what is the intensity?,What is the intensity?,0.9892376141906072
Please tell me what is the bulb brightness,Please tell me what is the bulb brightness?,0.9889102805640694
Please set the thermostat to heat,Please set the thermostat to heating,0.9884265392988503
Set the thermostat to heat,Set the thermostat to heating,0.9877981349561435
What is the bulb color?,Please tell me what is the bulb color?,0.9876112353322746
Please tell me what is the bulb color?,What is the bulb color?,0.9876112353322746
What is the light intensity?,Please tell me what is the light intensity?,0.9866913608799496
Please tell me what is the light intensity?,What is the light intensity?,0.9866913608799496
change the temperature,Change the temperature to,0.9860987488202877
Change the temperature,Change the temperature to,0.9860987488202877
Please tell me what is the bulb color,Please tell me what is the bulb color?,0.9860405053449443
What is the maximum heat temperature?,What is the maximum heat temperature,0.9859411928692644
What is the bulb brightness?,Please tell me what is the bulb brightness?,0.9858796721224413
Please tell me what is the bulb brightness?,What is the bulb brightness?,0.9858796721224413
What is the intensity,Please tell me what is the intensity,0.985794751677034
Please tell me what is the intensity,What is the intensity,0.985794751677034
Please set the thermostat to cool,Please set the thermostat to cooling,0.9845445529198484
What is the bulb intensity,Please tell me what is the bulb intensity,0.9841888009793378
Please tell me what is the bulb intensity,What is the bulb intensity,0.9841888009793378
What is the light color?,Please tell me what is the light color?,0.9841863423895301
Please tell me what is the light color?,What is the light color?,0.9841863423895301
What is the intensity,What is the bulb intensity,0.9841007553623796
What is the intensity,What is the bulb intensity,0.9841007553623796
What is the bulb intensity,What is the intensity,0.9841007553623796
What is the intensity,What is the bulb intensity,0.9841007553623796
Please tell me what is the intensity,Please tell me what is the bulb intensity,0.982972096439602
What is the light brightness?,Please tell me what is the light brightness?,0.9827935955946913
Please tell me what is the light brightness?,What is the light brightness?,0.9827935955946913
Set the thermostat to cool,Set the thermostat to cooling,0.9826349512313685
What is the bulb color,Please tell me what is the bulb color,0.9823893976310878
Please tell me what is the bulb color,What is the bulb color,0.9823893976310878
Please tell me what is the intensity,Please tell me what is the intensity?,0.9823569865947597
please tell me the mode of the thermostat,please tell me what is the mode of the thermostat?,0.9822985273120008
please tell me the mode of the thermostat,please tell me what is the mode of the thermostat?,0.9822985273120008
