question_1,question_2,cosine_similarity
please tell me what is the mode of the thermostat?,please tell me what is the mode of the thermostat,0.9918481691797889
please tell me what is the mode of the thermostat?,please tell me what is the mode of the thermostat,0.9918481691797889
please tell me what is the mode of the thermostat,please tell me what is the mode of the thermostat?,0.9918481691797889
please tell me what is the mode of the thermostat?,please tell me what is the mode of the thermostat,0.9918481691797889
please tell me the mode of the thermostat,please tell me what is the mode of the thermostat,0.9896119680880712
please tell me the mode of the thermostat,please tell me what is the mode of the thermostat,0.9896119680880712
please tell me what is the mode of the thermostat,please tell me the mode of the thermostat,0.9896119680880712
please tell me the mode of the thermostat,please tell me what is the mode of the thermostat,0.9896119680880712
What is the intensity?,Please tell me what is the intensity?,0.9892376141906072
Please tell me what is the intensity?,What is the intensity?,0.9892376141906072
Please tell me what is the bulb brightness,Please tell me what is the bulb brightness?,0.9889102805640694
Please set the thermostat to heat,Please set the thermostat to heating,0.9884265392988503
Set the thermostat to heat,Set the thermostat to heating,0.9877981349561435
What is the bulb color?,Please tell me what is the bulb color?,0.9876112353322746
Please tell me what is the bulb color?,What is the bulb color?,0.9876112353322746
What is the light intensity?,Please tell me what is the light intensity?,0.9866913608799496
Please tell me what is the light intensity?,What is the light intensity?,0.9866913608799496
change the temperature,Change the temperature to,0.9860987488202877
Change the temperature,Change the temperature to,0.9860987488202877
Please tell me what is the bulb color,Please tell me what is the bulb color?,0.9860405053449443
What is the maximum heat temperature?,What is the maximum heat temperature,0.9859411928692644
What is the bulb brightness?,Please tell me what is the bulb brightness?,0.9858796721224413
Please tell me what is the bulb brightness?,What is the bulb brightness?,0.9858796721224413
What is the intensity,Please tell me what is the intensity,0.985794751677034
Please tell me what is the intensity,What is the intensity,0.985794751677034
Please set the thermostat to cool,Please set the thermostat to cooling,0.9845445529198484
What is the bulb intensity,Please tell me what is the bulb intensity,0.9841888009793378
Please tell me what is the bulb intensity,What is the bulb intensity,0.9841888009793378
What is the light color?,Please tell me what is the light color?,0.9841863423895301
Please tell me what is the light color?,What is the light color?,0.9841863423895301
What is the intensity,What is the bulb intensity,0.9841007553623796
What is the intensity,What is the bulb intensity,0.9841007553623796
What is the bulb intensity,What is the intensity,0.9841007553623796
What is the intensity,What is the bulb intensity,0.9841007553623796
Please tell me what is the intensity,Please tell me what is the bulb intensity,0.982972096439602
What is the light brightness?,Please tell me what is the light brightness?,0.9827935955946913
Please tell me what is the light brightness?,What is the light brightness?,0.9827935955946913
Set the thermostat to cool,Set the thermostat to cooling,0.9826349512313685
What is the bulb color,Please tell me what is the bulb color,0.9823893976310878
Please tell me what is the bulb color,What is the bulb color,0.9823893976310878
Please tell me what is the intensity,Please tell me what is the intensity?,0.9823569865947597
please tell me the mode of the thermostat,please tell me what is the mode of the thermostat?,0.9822985273120008
please tell me the mode of the thermostat,please tell me what is the mode of the thermostat?,0.9822985273120008
please tell me what is the mode of the thermostat?,please tell me the mode of the thermostat,0.9822985273120008
please tell me the mode of the thermostat,please tell me what is the mode of the thermostat?,0.9822985273120008
Can you tell me the mode of the thermostat?,please tell me the mode of the thermostat,0.9821255118690858
Can you tell me the mode of the thermostat?,please tell me the mode of the thermostat,0.9821255118690858
please tell me the mode of the thermostat,Can you tell me the mode of the thermostat?,0.9821255118690858
Can you tell me the mode of the thermostat?,please tell me the mode of the thermostat,0.9821255118690858
What is the bulb brightness,What is the bulb brightness?,0.9819791142399786
What is the bulb brightness,What is the bulb brightness?,0.9819791142399786
What is the bulb brightness?,What is the bulb brightness,0.9819791142399786
What is the bulb brightness,What is the bulb brightness?,0.9819791142399786
What is the bulb color,What is the bulb color?,0.9812611916426006
What is the bulb color,What is the bulb color?,0.9812611916426006
What is the bulb color?,What is the bulb color,0.9812611916426006
What is the bulb color,What is the bulb color?,0.9812611916426006
What is the bulb brightness,Please tell me what is the bulb brightness,0.9790225005995717
Please tell me what is the bulb brightness,What is the bulb brightness,0.9790225005995717
Please tell me what is the intensity?,Please tell me what is the light intensity?,0.9789486574420945
What is the intensity,What is the intensity?,0.9788284745673999
What is the intensity,What is the intensity?,0.9788284745673999
What is the intensity?,What is the intensity,0.9788284745673999
What is the intensity,What is the intensity?,0.9788284745673999
What is the intensity?,Please tell me what is the intensity,0.978154252946291
Please tell me what is the intensity,What is the intensity?,0.978154252946291
Switch on the bulb,Switch on the light,0.9772737379328534
What is the intensity?,What is the light intensity?,0.9771696007264854
What is the intensity?,What is the light intensity?,0.9771696007264854
What is the light intensity?,What is the intensity?,0.9771696007264854
What is the intensity?,What is the light intensity?,0.9771696007264854
Can you tell me the mode of the thermostat?,please tell me what is the mode of the thermostat?,0.9768768764529417
Can you tell me the mode of the thermostat?,please tell me what is the mode of the thermostat?,0.9768768764529417
please tell me what is the mode of the thermostat?,Can you tell me the mode of the thermostat?,0.9768768764529417
Can you tell me the mode of the thermostat?,please tell me what is the mode of the thermostat?,0.9768768764529417
What is the bulb brightness?,Please tell me what is the bulb brightness,0.9761166112057544
Please tell me what is the bulb brightness,What is the bulb brightness?,0.9761166112057544
What is the bulb brightness?,What is the light brightness?,0.9759075493875513
What is the bulb brightness?,What is the light brightness?,0.9759075493875513
What is the light brightness?,What is the bulb brightness?,0.9759075493875513
What is the bulb brightness?,What is the light brightness?,0.9759075493875513
Switch off the bulb,Switch off the light,0.9757736452683472
What is the bulb intensity,Please tell me what is the intensity,0.9746864938277006
Please tell me what is the intensity,What is the bulb intensity,0.9746864938277006
change intensity,Please change intensity,0.9746334134903869
Please change intensity,Change intensity,0.9746334134903869
Please tell me what is the bulb brightness?,Please tell me what is the light brightness?,0.9744347427877984
Please change bulb brightness,Please adjust bulb brightness,0.9731884687640271
What is the bulb color?,Please tell me what is the bulb color,0.9731198879855858
Please tell me what is the bulb color,What is the bulb color?,0.9731198879855858
What is the light intensity?,Please tell me what is the intensity?,0.969835583274638
Please tell me what is the intensity?,What is the light intensity?,0.969835583274638
Set the maximum cool temperature to,Set max cooling to,0.9697602602416406
What is the bulb color,Please tell me what is the bulb color?,0.9694429704625449
Please tell me what is the bulb color?,What is the bulb color,0.9694429704625449
Please change brightness,Please adjust brightness,0.9692365217184642
Set the temperature to,Change the temperature to,0.9689927529373124
change brightness,Please change brightness,0.968538391192961
Please change brightness,Change brightness,0.968538391192961
Put the thermostat in heat mode,Put the thermostat in cool mode,0.9685118682825433
Set the system to heat,Set the system to heating,0.9684340767826374
Can you tell me the mode of the thermostat?,please tell me what is the mode of the thermostat,0.9678219482085262
Can you tell me the mode of the thermostat?,please tell me what is the mode of the thermostat,0.9678219482085262
please tell me what is the mode of the thermostat,Can you tell me the mode of the thermostat?,0.9678219482085262
Can you tell me the mode of the thermostat?,please tell me what is the mode of the thermostat,0.9678219482085262
What is the light status?,What is the light status,0.9672031769067562
Please tell me what is the intensity?,Please tell me what is the bulb intensity,0.966970924644591
Set minimum heat temperature to,Change the minimum heating temperature to,0.9663302518611286
I want to change the mode cooling,I want to change the more cooling,0.9660573335594823
change bulb intensity,Please change bulb intensity,0.9656395258118633
Please change bulb intensity,Change bulb intensity,0.9656395258118633
What is the bulb brightness,Please tell me what is the bulb brightness?,0.965482625770907
Please tell me what is the bulb brightness?,What is the bulb brightness,0.965482625770907
What is the temperature?,What is the temperature,0.9650775848559748
What is the temperature,What is the temperature?,0.9650775848559748
What is the temperature,What is the temperature?,0.9650775848559748
Please set the system to heat,Please set the system to heating,0.9648086103889707
What is the intensity?,Please tell me what is the light intensity?,0.9647090554279103
Please tell me what is the light intensity?,What is the intensity?,0.9647090554279103
What is the intensity,Please tell me what is the bulb intensity,0.9646529338526539
Please tell me what is the bulb intensity,What is the intensity,0.9646529338526539
What is the intensity,Please tell me what is the intensity?,0.9634784370957412
